电影名称,评分,评价人数,上映年份,电影类型,导演/主演,剧情简介
爱在午夜降临前,8.9,467680,2013,"剧情, 爱情",理查德·林克莱特 Richard Linklater / 伊桑·霍克 Ethan Hawke ...,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,8.8,515738,2015,"剧情, 家庭",是枝裕和 Hirokazu Koreeda / 绫濑遥 Haruka Ayase / 长泽雅美 M...,是枝裕和的家庭习作。
疯狂的石头,8.6,917854,2006,"喜剧, 犯罪",宁浩 Hao Ning / 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,中国版《两杆大烟枪》。
风之谷,8.9,391030,1984,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 岛本须美 Sumi Shimamoto / 松田洋治 Y...,
雨中曲,9.1,264752,1952,"喜剧, 歌舞, 爱情",斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly / 吉恩·...,
上帝之城,9.0,331064,2002,"犯罪, 剧情",,
2001太空漫游,8.9,389570,1968,"科幻, 惊悚, 冒险",斯坦利·库布里克 Stanley Kubrick / 凯尔·杜拉 Keir Dullea / ...,
心迷宫,8.7,610434,2014,"剧情, 犯罪, 悬疑",忻钰坤 Yukun Xin / 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
英雄本色,8.6,601832,1986,"剧情, 动作, 犯罪",吴宇森 John Woo / 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,
机器人之梦,9.1,402196,2023,"剧情, 动画, 音乐",巴勃罗·贝格尔 Pablo Berger / 伊万·拉班达 Ivan Labanda / 阿...,
记忆碎片,8.7,663826,2000,"犯罪, 剧情, 悬疑, 惊悚",克里斯托弗·诺兰 Christopher Nolan / 盖·皮尔斯 Guy Pearce /...,
纵横四海,8.8,470482,1991,"剧情, 喜剧, 动作, 犯罪",吴宇森 John Woo / 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,
卢旺达饭店,8.9,364556,2004,"剧情, 传记, 历史, 战争",特瑞·乔治 Terry George / 唐·钱德尔 Don Cheadle / 苏菲·奥...,当这个世界闭上双眼，他却敞开了怀抱。
无敌破坏王,8.7,607053,2012,"喜剧, 动画, 奇幻, 冒险",瑞奇·莫尔 Rich Moore / 约翰·C·赖利 John C. Reilly / 萨拉...,迪士尼和皮克斯拿错剧本的产物。
小偷家族,8.7,889715,2018,"剧情, 犯罪, 家庭",是枝裕和 Hirokazu Koreeda / 中川雅也 Lily Franky / 安藤樱 Sa...,我们组成了家。
恐怖游轮,8.5,980220,2009,"科幻, 悬疑, 奇幻, 惊悚",克里斯托弗·史密斯 Christopher Smith / 梅利莎·乔治 Melissa ...,不要企图在重复中寻找已经失去的爱。
冰川时代,8.7,681148,2002,"喜剧, 动画, 冒险",,
牯岭街少年杀人事件,8.9,363857,1991,"剧情, 犯罪",杨德昌 Edward Yang / 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,
东京教父,9.0,285435,2003,"剧情, 喜剧, 动画",今敏 Satoshi Kon / 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,
魔女宅急便,8.7,520127,1989,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 高山南 Minami Takayama / 佐久间玲 Re...,
芙蓉镇,9.3,186473,1987,"剧情, 爱情",谢晋 Jin Xie / 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,
岁月神偷,8.7,610148,2010,"剧情, 家庭",罗启锐 Alex Law / 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,岁月流逝，来日可追。
忠犬八公物语,9.2,216868,1987,剧情,神山征二郎 Seijirô Kôyama / 仲代达矢 Tatsuya Nakadai /...,
荒蛮故事,8.7,512386,2014,"剧情, 喜剧, 犯罪",达米安·斯兹弗隆 Damián Szifron / 达里奥·葛兰帝内提 Darío...,始于荒诞，止于更荒诞。
遗愿清单,8.7,532088,2007,"冒险, 喜剧, 剧情",罗伯·莱纳 Rob Reiner / 杰克·尼科尔森 Jack Nicholson / 摩根...,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,8.7,547720,2017,"剧情, 喜剧",黄信尧 Hsin-yao Huang / 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,人们可以登上月球，却永远无法探索人们内心的宇宙。
源代码,8.6,918506,2011,"科幻, 悬疑, 惊悚",邓肯·琼斯 Duncan Jones / 杰克·吉伦哈尔 Jake Gyllenhaal / ...,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路,8.7,613250,2015,"动作, 科幻, 冒险",乔治·米勒 George Miller / 汤姆·哈迪 Tom Hardy / 查理兹·塞...,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
你看起来好像很好吃,8.9,372560,2010,"剧情, 动画, 儿童",藤森雅也 Masaya Fujimori / 山口胜平 Kappei Yamaguchi / 爱河...,感情不分食草或者食肉。
贫民窟的百万富翁,8.6,803072,2008,"剧情, 爱情",丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan / 戴夫...,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
花束般的恋爱,8.6,812558,2021,"剧情, 爱情",土井裕泰 Nobuhiro Doi / 菅田将晖 Masaki Suda / 有村架纯 Kasu...,
可可西里,8.9,342837,2004,"剧情, 犯罪",陆川 Chuan Lu / 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,坚硬的信仰。
城市之光,9.3,170650,1931,"喜剧, 剧情, 爱情",查理·卓别林 Charles Chaplin / 查理·卓别林 Charles Chaplin ...,
白日梦想家,8.6,634960,2013,"剧情, 喜剧, 冒险",本·斯蒂勒 Ben Stiller / 本·斯蒂勒 Ben Stiller / 克里斯汀·...,
波西米亚狂想曲,8.6,684128,2018,"剧情, 传记, 同性, 音乐",布莱恩·辛格 Bryan Singer / 拉米·马雷克 Rami Malek / 本·哈...,
爆裂鼓手,8.6,684565,2014,"剧情, 音乐",达米恩·查泽雷 Damien Chazelle / 迈尔斯·特勒 Miles Teller /...,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
东邪西毒,8.6,631578,1994,"剧情, 动作, 爱情, 武侠, 古装",王家卫 Kar Wai Wong / 张国荣 Leslie Cheung / 林青霞 Brigitte...,
青蛇,8.6,596859,1993,"剧情, 爱情, 奇幻, 古装",徐克 Hark Tsui / 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,
哈利·波特与死亡圣器(上),8.6,687748,2010,"奇幻, 冒险",大卫·叶茨 David Yates / 丹尼尔·雷德克里夫 Daniel Radcliffe...,最忠于原著的一部。
无耻混蛋,8.7,554856,2009,"剧情, 犯罪",昆汀·塔伦蒂诺 Quentin Tarantino / 布拉德·皮特 Brad Pitt / ...,昆汀同学越来越变态了，比北野武还杜琪峰。
终结者2：审判日,8.8,381483,1991,"动作, 科幻",詹姆斯·卡梅隆 James Cameron / 阿诺·施瓦辛格 Arnold Schwarz...,
黑天鹅,8.6,841982,2010,"剧情, 惊悚",达伦·阿罗诺夫斯基 Darren Aronofsky / 娜塔莉·波特曼 Natalie...,黑暗之美。
大红灯笼高高挂,8.8,364770,1991,剧情,张艺谋 Yimou Zhang / 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,
初恋这件小事,8.5,1046595,2010,"剧情, 喜剧, 爱情",,黑小鸭速效美白记。
新龙门客栈,8.7,504272,1992,"动作, 爱情, 武侠, 古装",李惠民 Raymond Lee / 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,
人工智能,8.7,498020,2001,"剧情, 科幻",史蒂文·斯皮尔伯格 Steven Spielberg / 海利·乔·奥斯蒙 Haley...,
雨人,8.7,440471,1988,剧情,巴瑞·莱文森 Barry Levinson / 达斯汀·霍夫曼 Dustin Hoffman ...,
崖上的波妞,8.6,570244,2008,"动画, 奇幻, 冒险",宫崎骏 Hayao Miyazaki / 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,
千钧一发,8.8,346005,1997,"剧情, 科幻, 惊悚",安德鲁·尼科尔 Andrew Niccol / 伊桑·霍克 Ethan Hawke / 乌玛...,
虎口脱险,8.9,292655,1966,"喜剧, 战争",杰拉尔·乌里 Gérard Oury / 路易·德·菲耐斯 Louis de Funès...,
罗生门,8.8,355176,1950,"剧情, 犯罪, 悬疑",黑泽明 Akira Kurosawa / 三船敏郎 Toshirô Mifune / 京町子 ...,
哈利·波特与凤凰社,8.6,687250,2007,"奇幻, 冒险",大卫·叶茨 David Yates / 丹尼尔·雷德克里夫 Daniel Radcliffe...,
真爱至上,8.5,800345,2003,"喜剧, 剧情, 爱情",理查德·柯蒂斯 Richard Curtis / 休·格兰特 Hugh Grant / 连姆...,
彗星来的那一夜,8.6,676248,2013,"科幻, 悬疑, 惊悚",詹姆斯·沃德·布柯特 James Ward Byrkit / 艾米丽·芭尔多尼 Em...,小成本大魅力。
恋恋笔记本,8.5,742578,2004,"剧情, 爱情",尼克·卡索维茨 Nick Cassavetes / 瑞恩·高斯林 Ryan Gosling /...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
海边的曼彻斯特,8.6,644928,2016,"剧情, 家庭",肯尼斯·罗纳根 Kenneth Lonergan / 卡西·阿弗莱克 Casey Affle...,我们都有权利不与自己的过去和解。
火星救援,8.5,824341,2015,"剧情, 科幻, 冒险",雷德利·斯科特 Ridley Scott / 马特·达蒙 Matt Damon / 杰西卡...,
黑客帝国2：重装上阵,8.7,451680,2003,"动作, 科幻",,
步履不停,8.8,323217,2008,"剧情, 家庭",是枝裕和 Hirokazu Koreeda / 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
奇迹男孩,8.6,597204,2017,"剧情, 儿童, 家庭",斯蒂芬·卓博斯基 Stephen Chbosky / 雅各布·特伦布莱 Jacob Tr...,世界不完美，爱会有奇迹。
千年女优,8.8,314614,2001,"动画, 剧情, 爱情",今敏 Satoshi Kon / 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,
战争之王,8.7,412081,2005,"剧情, 犯罪",安德鲁·尼科尔 Andrew Niccol / 尼古拉斯·凯奇 Nicolas Cage /...,做一颗让别人需要你的棋子。
冰雪奇缘,8.5,816772,2013,"喜剧, 动画, 奇幻, 歌舞",克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee / 克里斯汀...,
萤火虫之墓,8.7,436778,1988,"动画, 剧情, 战争",高畑勋 Isao Takahata / 辰己努 / 白石绫乃 / 志乃原良子,
谍影重重2,8.7,396047,2004,"动作, 悬疑, 惊悚",保罗·格林格拉斯 Paul Greengrass / 马特·达蒙 Matt Damon / ...,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙,8.6,750807,2018,"动作, 科幻, 动画, 冒险",,
攻壳机动队,9.0,214526,1995,"动作, 科幻, 动画",押井守 Mamoru Oshii / 田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,
血钻,8.7,418976,2006,"剧情, 惊悚, 冒险",爱德华·兹威克 Edward Zwick / 莱昂纳多·迪卡普里奥 Leonardo ...,每个美丽事物背后都是滴血的现实。
魂断蓝桥,8.8,308287,1940,"剧情, 爱情, 战争",茂文·勒鲁瓦 Mervyn LeRoy / 费雯·丽 Vivien Leigh / 罗伯特·...,
隐藏人物,8.9,267752,2016,"剧情, 传记, 历史",特奥多尔·梅尔菲 Theodore Melfi / 塔拉吉·P·汉森 Taraji P. ...,
房间,8.7,397817,2015,"剧情, 家庭",伦尼·阿伯拉罕森 Lenny Abrahamson / 布丽·拉尔森 Brie Larson...,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
小姐,8.5,565366,2016,"剧情, 悬疑, 情色, 同性",朴赞郁 Chan-wook Park / 金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,
